title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age
Nissan Sunny 2004,Nissan,Sunny,Automatic,"CNG, Octane","Tk 750,000",2009,"1,500 cc","500,000 km",17
Toyota ist G NEW SHAPE 2010,Toyota,ist,Automatic,"Petrol, Octane","Tk 1,430,000",2010,"1,500 cc","64,000 km",16
Toyota ist G HID SELECTION 2004,Toyota,ist,Automatic,"Petrol, Octane","Tk 870,000",2004,"1,330 cc","81,000 km",22
MG HS Sunroof Moonroof 2021,MG,HS,Automatic,Octane,"Tk 2,650,000",2021,"1,500 cc","70,000 km",5
Toyota C-HR 2018,Toyota,C-HR,Automatic,"Hybrid, Octane","Tk 3,050,000",2018,"1,800 cc","96,000 km",8
Toyota Harrier Z Leather Non Hybrid 2021,Toyota,Harrier,Automatic,"Petrol, Octane","Tk 7,450,000",2021,"2,000 cc","29,000 km",5
Toyota Noah SI WXB Hybrid pearl 2020,Toyota,Noah,Automatic,"Hybrid, Octane","Tk 3,300,000",2020,"1,800 cc","45,445 km",6
Toyota Hiace SUPER GL SPECIAL E. 2021,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,370,000",2021,"2,000 cc","35,640 km",5
Honda Grace L PKG NON HYBRID 2020,Honda,Grace,Automatic,"Petrol, Octane","Tk 2,700,000",2020,"1,500 cc","63,000 km",6
Honda Grace BLACK 2020,Honda,Grace,Automatic,Hybrid,"Tk 2,800,000",2020,"1,500 cc","41,070 km",6
Toyota Corolla Cross Z Leather 2022,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 4,350,000",2022,"1,800 cc","22,373 km",4
Toyota Hiace GL PACKAGE DUAL AC 2021,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 3,260,000",2021,"2,000 cc","54,982 km",5
Toyota Hiace SUPER GL DARK PRIME 2021,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,360,000",2021,"2,000 cc","56,726 km",5
Toyota Sienta G LED 7SEAT 2DR PWR 2020,Toyota,Sienta,Automatic,Hybrid,"Tk 2,430,000",2020,"1,500 cc","67,098 km",6
Toyota Hiace SUPER GL DARK PRIME 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,240,000",2020,"2,000 cc","62,434 km",6
Toyota Axio EX NON HYBRID WHITE 2020,Toyota,Axio,Automatic,"Petrol, Octane","Tk 2,390,000",2020,"1,500 cc","50,420 km",6
Honda Vezel 2014,Honda,Vezel,Automatic,Hybrid,"Tk 1,490,000",2018,"1,500 cc","75,000 km",8
BAIC X25 Jeep 2016,BAIC,X25,Automatic,Octane,"Tk 1,250,000",2016,"1,500 cc","52,000 km",10
Toyota Fielder EX HYBRID PUSH GP-4 2021,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,220,000",2021,"1,500 cc","70,215 km",5
Toyota Corolla WXB 2021,Toyota,Corolla,Automatic,"Hybrid, Octane","Tk 3,300,000",2021,"1,800 cc","67,000 km",5
Toyota Axio 2010,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,520,000",2015,"1,500 cc","75,331 km",11
Lexus ES 2019,Lexus,ES,Automatic,Hybrid,"Tk 9,200,000",2019,"2,500 cc","32,000 km",7
Toyota Supra 35th Anniversary 2021,Toyota,Supra,Automatic,"Petrol, Octane","Tk 14,200,000",2021,"2,000 cc","16,510 km",5
Lexus RX 500H NEW SHAPE READY 2023,Lexus,RX,Automatic,"Hybrid, Octane","Tk 20,500,000",2023,"2,400 cc","1,300 km",3
Toyota Yaris Cross Z PKG 2021,Toyota,Yaris Cross,Automatic,"Petrol, Hybrid, Octane","Tk 3,600,000",2021,"1,500 cc","49,778 km",5
Toyota Premio FL 2020,Toyota,Premio,Automatic,Petrol,"Tk 4,200,000",2020,"1,500 cc","122,000 km",6
Honda Vezel Octane Drive 2014,Honda,Vezel,Automatic,Octane,"Tk 2,190,000",2014,"1,500 cc","80,650 km",12
Toyota Hiace SUPER GL 2 DOOR PWR 2020,Toyota,Hiace,Automatic,Octane,"Tk 4,400,000",2020,"2,000 cc","96,000 km",6
Toyota Hiace SUPER GL 4.5 POINT 2022,Toyota,Hiace,Automatic,Octane,"Tk 4,750,000",2022,"2,000 cc","53,000 km",4
Toyota Premio 2015,Toyota,Premio,Automatic,Petrol,"Tk 2,550,000",2019,"1,500 cc","50,328 km",7
Toyota C-HR G LED 4.5 2018,Toyota,C-HR,Automatic,"Hybrid, Octane","Tk 3,050,000",2018,"1,800 cc","99,551 km",8
Toyota Prius A PKG PEARL COLOR 2020,Toyota,Prius,Automatic,"Hybrid, Octane","Tk 3,650,000",2020,"1,800 cc","63,285 km",6
Toyota Aqua S Package 2020,Toyota,Aqua,Automatic,"Hybrid, Octane","Tk 1,700,000",2020,"1,500 cc","55,328 km",6
Toyota Premio F 2007,Toyota,Premio,Automatic,"CNG, Octane","Tk 1,930,000",2007,"1,500 cc","85,000 km",19
Toyota C-HR PUSH G LED 2020,Toyota,C-HR,Automatic,Hybrid,"Tk 3,380,000",2020,"1,800 cc","31,932 km",6
Toyota Harrier z leather Pearl 2025,Toyota,Harrier,Automatic,Petrol,"Tk 10,890,000",2025,"2,500 cc",5 km,1
Toyota Hiace DX AMBULANCE 2020,Toyota,Hiace,Automatic,Petrol,"Tk 2,820,000",2020,"2,000 cc","64,222 km",6
Toyota Noah SI WXB HYBRID 2021,Toyota,Noah,Automatic,Hybrid,"Tk 3,840,000",2021,"1,800 cc","62,000 km",5
Toyota Corolla WXB HYBRID 2020,Toyota,Corolla,Automatic,Hybrid,"Tk 3,130,000",2020,"1,800 cc","61,000 km",6
Toyota Hiace GL WHITE 2020,Toyota,Hiace,Automatic,Petrol,"Tk 2,850,000",2020,"2,000 cc","73,000 km",6
Toyota Corolla Cross Z LEATHER. 2023,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 5,140,000",2023,"1,800 cc","6,000 km",3
Toyota Premio F EX 2021,Toyota,Premio,Automatic,Petrol,"Tk 4,850,000",2021,"1,500 cc","45,000 km",5
Toyota Corolla GX HYBRID PEARL 2020,Toyota,Corolla,Automatic,Hybrid,"Tk 2,950,000",2020,"1,800 cc","53,000 km",6
Toyota Fielder EX HYBRID 2021,Toyota,Fielder,Automatic,Hybrid,"Tk 2,200,000",2021,"1,500 cc","105,000 km",5
Toyota Esquire GI PREMIUM NON HYBRI 2020,Toyota,Esquire,Automatic,Petrol,"Tk 4,390,000",2020,"2,000 cc","82,000 km",6
Honda Civic FC-1 2020,Honda,Civic,Automatic,Petrol,"Tk 4,090,000",2020,"1,500 cc","30,000 km",6
Toyota Noah Hybrid 2 Door power 2020,Toyota,Noah,Automatic,Hybrid,"Tk 3,300,000",2020,"1,800 cc","82,430 km",6
Toyota Esquire GIP PKG 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 4,175,000",2020,"1,790 cc","86,200 km",6
Toyota Axio Hybrid EX 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,800,000",2020,"1,490 cc","69,000 km",6
Toyota Esquire GIP PKG 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 4,200,000",2020,"1,790 cc","97,059 km",6
Toyota Axio Hybrid EX PKG 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,975,000",2020,"1,490 cc","17,333 km",6
Toyota Cross Z PKG 2025,Toyota,Cross,Automatic,"Hybrid, Octane","Tk 5,800,000",2025,"1,790 cc",15 km,1
Toyota ist G-Ltd. Octane Push 2011,Toyota,ist,Automatic,Octane,"Tk 1,340,000",2011,"1,500 cc","59,000 km",15
Toyota Axio Hybrid EX 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,850,000",2020,"1,490 cc","67,300 km",6
Toyota Noah X 2003,Toyota,Noah,Automatic,"Petrol, Octane, LPG","Tk 1,175,000",2003,"2,000 cc","125,000 km",23
Toyota Allion 2011,Toyota,Allion,Automatic,"Petrol, Octane","Tk 2,190,000",2011,"1,500 cc","68,000 km",15
Toyota Esquire Gi Premium Black 2020,Toyota,Esquire,Automatic,Petrol,"Tk 4,580,000",2020,"2,000 cc","63,000 km",6
Toyota Noah SI Black 3.5149k km 2020,Toyota,Noah,Automatic,Petrol,"Tk 3,950,000",2020,"2,000 cc","149,000 km",6
Toyota Noah SI WXB 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,500,000",2020,"1,800 cc","45,720 km",6
Toyota Esquire GI Hybrid 4 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,950,000",2020,"1,800 cc","66,000 km",6
Toyota Esquire Gi Premium Hybrid 2021,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 4,000,000",2021,"1,800 cc","116,313 km",5
Toyota Axio EX PKG 2020,Toyota,Axio,Automatic,"Petrol, Hybrid, Octane","Tk 2,080,000",2020,"1,500 cc","51,000 km",6
Toyota Noah SI WXB 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 4,700,000",2020,"1,800 cc","46,821 km",6
Toyota Noah SI WXB 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,550,000",2020,"1,800 cc","56,123 km",6
Toyota Noah X Dark Wine N.Hybrid 2021,Toyota,Noah,Automatic,"Petrol, Octane","Tk 3,850,000",2021,"2,000 cc","74,269 km",5
Toyota Premio F-EX 4.5 2021,Toyota,Premio,Automatic,"Petrol, Octane","Tk 5,000,000",2021,"1,500 cc","35,115 km",5
Toyota Aqua G Soft Leather 2020,Toyota,Aqua,Automatic,"Petrol, Hybrid, Octane","Tk 2,050,000",2020,"1,500 cc","69,000 km",6
Toyota Axio Ex 2020,Toyota,Axio,Automatic,"Petrol, Hybrid, Octane","Tk 2,150,000",2020,"1,500 cc","52,800 km",6
Toyota Fielder EX Hybrid Ready 2020,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,200,000",2020,"1,500 cc","42,152 km",6
Toyota Corolla Cross Z Leather Full Load 2023,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 5,200,000",2023,"1,800 cc","6,000 km",3
Toyota Noah XI Hybrid 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,100,000",2020,"1,800 cc","72,000 km",6
Toyota Voxy ZS Kirameki Ready 2019,Toyota,Voxy,Automatic,"Petrol, Hybrid, Octane","Tk 3,050,000",2019,"1,800 cc","37,856 km",7
Toyota Voxy S-Z Hybrid 2022,Toyota,Voxy,Automatic,"Petrol, Hybrid","Tk 4,870,000",2022,"1,800 cc","63,000 km",4
Honda Insight Ex 2021,Honda,Insight,Automatic,"Petrol, Hybrid, Octane","Tk 3,850,000",2021,"1,500 cc","30,000 km",5
Toyota Esquire Gi Hybrid Mica-Blue 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,800,000",2020,"2,020 cc","59,785 km",6
Toyota Fielder Ex pkg Hyb push 4pt 2020,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 2,320,000",2020,"1,500 cc","90,369 km",6
Toyota Axio Ex Octen push 4pt 2020,Toyota,Axio,Automatic,"Octane, Other fuel type","Tk 2,670,000",2020,"1,500 cc","90,999 km",6
Toyota Hiace DX DHAKA READY 2021,Toyota,Hiace,Automatic,Octane,"Tk 3,180,000",2021,"2,000 cc","63,251 km",5
Toyota Corolla Cross Z-LEATHER HYBRID 2023,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 4,850,000",2023,"1,800 cc","47,845 km",3
Toyota Harrier Z-LEATHER HYBRID 2020,Toyota,Harrier,Automatic,"Hybrid, Octane","Tk 6,980,000",2020,"2,500 cc","64,253 km",6
Toyota Noah X Smart Dhaka Ready 2020,Toyota,Noah,Automatic,Octane,"Tk 3,950,000",2020,"2,000 cc","74,000 km",6
Haval H2 Fully Loaded 2017,Haval,H2,Automatic,Octane,"Tk 1,990,000",2017,"1,500 cc","34,000 km",9
Toyota Corolla X 2001,Toyota,Corolla,Automatic,"CNG, Octane","Tk 950,000",2001,"1,500 cc","85,431 km",25
Toyota Corolla x 2002,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,045,000",2002,"1,500 cc","87,000 km",24
Toyota Corolla 2003,Toyota,Corolla,Automatic,"CNG, Octane","Tk 980,000",2008,"1,500 cc","176,000 km",18
Toyota Allion 2005,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,455,000",2005,"1,500 cc","85,000 km",21
Toyota Premio F 2012,Toyota,Premio,Automatic,Octane,"Tk 2,565,000",2012,"1,500 cc","66,000 km",14
Toyota Premio F 2016,Toyota,Premio,Automatic,Octane,"Tk 2,945,000",2016,"1,500 cc","51,000 km",10
Nissan X-Trail no accident history 2007,Nissan,X-Trail,Automatic,"Petrol, Octane","Tk 790,000",2007,"2,500 cc","120,000 km",19
Toyota Fielder 5 Seater 2011,Toyota,Fielder,Automatic,"CNG, Octane","Tk 1,620,000",2011,"1,500 cc","75,000 km",15
Toyota Corolla X 2005,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,330,000",2005,"1,500 cc","78,324 km",21
Nissan X-Trail 7 Seat  Sunroof 2014,Nissan,X-Trail,Automatic,Octane,"Tk 3,050,000",2014,"2,000 cc","54,300 km",12
Nissan Sunny Fresh Condition 2006,Nissan,Sunny,Automatic,"CNG, Octane","Tk 690,000",2006,"1,600 cc","79,500 km",20
BMW 5 Series 520i Germany 2015,BMW,5 Series,Automatic,Octane,"Tk 6,750,000",2015,"2,000 cc","24,000 km",11
DFSK Glory I-Auto Fully Loaded 2021,DFSK,Glory I-Auto,Automatic,Octane,"Tk 2,250,000",2021,"1,500 cc","27,000 km",5
Toyota Noah X 2015,Toyota,Noah,Automatic,"Octane, LPG","Tk 2,685,000",2015,"2,000 cc","72,038 km",11
Toyota C-HR G LED Package Loan 2019,Toyota,C-HR,Automatic,"Hybrid, Octane","Tk 2,050,000",2019,"1,800 cc","27,000 km",7
Toyota Hiace Super GL fresh 2009,Toyota,Hiace,Automatic,"CNG, Octane","Tk 2,280,000",2009,"2,000 cc","75,000 km",17
Toyota Premio F EX Octane Drive 2014,Toyota,Premio,Automatic,Octane,"Tk 2,730,000",2014,"1,500 cc","55,000 km",12
Toyota Aqua S STYLE BLACK 2020,Toyota,Aqua,Automatic,Hybrid,"Tk 1,900,000",2020,"1,500 cc","75,000 km",6
Toyota Allion G Plus Package 2016,Toyota,Allion,Automatic,Octane,"Tk 3,050,000",2016,"1,500 cc","51,000 km",10
Honda City G Package 2017,Honda,City,Automatic,Octane,"Tk 2,150,000",2017,"1,500 cc","37,000 km",9
Toyota Hiace GL Super Fresh 2017,Toyota,Hiace,Automatic,"CNG, Octane","Tk 3,150,000",2017,"1,500 cc","42,000 km",9
Toyota Harrier Advance Premium JBL 2017,Toyota,Harrier,Automatic,Octane,"Tk 6,220,000",2017,"2,000 cc","52,000 km",9
Toyota Noah X Smart Push Octane 2012,Toyota,Noah,Automatic,Octane,"Tk 2,295,000",2012,"2,000 cc","75,008 km",14
Toyota Celica Sports Full Fresh 2004,Toyota,Celica,Automatic,Octane,"Tk 1,680,000",2004,"2,000 cc","43,000 km",22
Honda Vezel Z Octane Drive Only 2014,Honda,Vezel,Automatic,Octane,"Tk 1,990,000",2014,"1,500 cc","62,000 km",12
Toyota Alphard EXECUTIVE LOUNGE 2020,Toyota,Alphard,Automatic,Hybrid,"Tk 10,700,000",2020,"2,500 cc","20,000 km",6
Toyota Corolla Cross Z Black 2022,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 4,670,000",2022,"1,800 cc","34,850 km",4
Toyota Harrier HarrierPearl 2021,Toyota,Harrier,Automatic,Octane,"Tk 8,300,000",2021,"2,000 cc","36,542 km",5
Toyota Prius S SAFETY PLUS2 2020,Toyota,Prius,Automatic,Hybrid,"Tk 2,980,000",2020,"1,800 cc","33,451 km",6
Toyota Axio 2020 PEARL EX,Toyota,Axio,Automatic,Octane,"Tk 2,710,000",2020,"1,500 cc","54,700 km",6
Toyota C-HR Pearl 2020,Toyota,C-HR,Automatic,Hybrid,"Tk 3,470,500",2020,"1,800 cc","28,000 km",6
Mitsubishi Outlander Red 2018,Mitsubishi,Outlander,Automatic,Octane,"Tk 4,550,000",2018,"2,000 cc","49,542 km",8
Mitsubishi Lancer GLX 2011,Mitsubishi,Lancer,Automatic,Octane,"Tk 920,000",2011,"1,300 cc","45,000 km",15
Nissan X-Trail 2016 Sunroof japan,Nissan,X-Trail,Automatic,Octane,"Tk 3,050,000",2016,"2,000 cc","66,000 km",10
BMW X5 HARD JEEP 2017,BMW,X5,Automatic,"Hybrid, Octane","Tk 11,500,000",2017,"2,000 cc","37,000 km",9
Toyota Corolla X 2005 REG 2008,Toyota,Corolla,Automatic,CNG,"Tk 1,200,000",2005,"1,500 cc","68,000 km",21
Toyota Fielder 2003 Reg 2008,Toyota,Fielder,Automatic,"CNG, Octane","Tk 1,090,000",2003,"1,500 cc","74,000 km",23
Toyota C-HR CHR modelist 2017,Toyota,C-HR,Automatic,"Hybrid, Octane","Tk 2,550,000",2017,"1,800 cc","75,650 km",9
Toyota Axio EX PKG HYB 2020,Toyota,Axio,Automatic,Hybrid,"Tk 2,450,000",2020,"1,500 cc","63,000 km",6
Toyota Noah G 2020,Toyota,Noah,Automatic,"Hybrid, Octane","Tk 3,370,000",2020,"1,800 cc","113,000 km",6
Toyota Fielder EX PKG NON HYB 2020,Toyota,Fielder,Automatic,Octane,"Tk 2,650,000",2020,"1,500 cc","163,000 km",6
Toyota Hiace SUPER GL KEY START 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,750,000",2020,"2,000 cc","143,282 km",6
Toyota Hiace GL DUAL AC ORIGINAL 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,380,000",2020,"2,000 cc","129,518 km",6
Toyota Axio X full fresh 2012,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,690,000",2012,"1,500 cc","78,000 km",14
Toyota Corolla X 2005,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,225,000",2005,"1,500 cc","66,000 km",21
Toyota Axio X Octane Drive Only 2012,Toyota,Axio,Automatic,Octane,"Tk 1,795,000",2012,"1,500 cc","69,000 km",14
Toyota C-HR Read Stock 2018,Toyota,C-HR,Automatic,"Petrol, Hybrid, Octane","Tk 3,160,000",2018,"1,800 cc","43,589 km",8
Hyundai H1 12 Seat Octane Drive 2015,Hyundai,H1,Automatic,"Petrol, Octane","Tk 1,980,000",2015,"2,400 cc","57,451 km",11
Subaru Forester AWD 2019,Subaru,Forester,Automatic,"Petrol, Octane","Tk 3,520,000",2019,"2,000 cc","55,428 km",7
Toyota Hilux Pickup 2011,Toyota,Hilux,Manual,Diesel,"Tk 2,750,000",2011,"2,500 cc","65,214 km",15
Honda CR-V New Shape Octane 2021,Honda,CR-V,Automatic,Octane,"Tk 5,100,000",2021,"1,500 cc","42,415 km",5
Kia Sportage New Shape Sunroof 2025,Kia,Sportage,Automatic,Octane,"Tk 5,500,000",2025,"1,600 cc","2,371 km",1
Toyota Axio G Package 2008,Toyota,Axio,Automatic,"Petrol, Octane","Tk 1,490,000",2008,"1,500 cc","57,854 km",18
Toyota Hilux Carryboy 2018,Toyota,Hilux,Manual,Diesel,"Tk 5,340,000",2018,"2,400 cc","55,214 km",8
Toyota Hilux Surf Octane Drive 2004,Toyota,Hilux,Automatic,Octane,"Tk 1,900,000",2004,"2,700 cc","68,563 km",22
Toyota Premio FEX Octane Drive 2014,Toyota,Premio,Automatic,"Petrol, Octane","Tk 2,490,000",2014,"1,500 cc","62,154 km",12
Toyota Prado TX Ltd 4WD 2012,Toyota,Prado,Automatic,"Petrol, Octane","Tk 6,990,000",2012,"2,700 cc","63,587 km",14
Mitsubishi Outlandar 4WD 2016,Mitsubishi,Outlandar,Automatic,"Petrol, Octane","Tk 3,240,000",2016,"2,000 cc","52,514 km",10
Mitsubishi Pajero V93 2006,Mitsubishi,Pajero,Automatic,"Petrol, Octane","Tk 3,680,000",2006,"3,000 cc","82,154 km",20
Mitsubishi Pajero Sport Diesel 2013,Mitsubishi,Pajero,Manual,Diesel,"Tk 3,550,000",2013,"2,500 cc","47,541 km",13
BMW 5 Series 520i 2011,BMW,5 Series,Automatic,"Petrol, Octane","Tk 4,490,000",2011,"2,000 cc","15,102 km",15
Mitsubishi Lancer GLX 2011,Mitsubishi,Lancer,Automatic,"Petrol, Octane","Tk 955,000",2011,"1,300 cc","82,104 km",15
Toyota Aqua Read Stock 2019,Toyota,Aqua,Automatic,"Hybrid, Octane","Tk 1,940,000",2019,"1,500 cc","93,541 km",7
Toyota Prius Showroom Stock 2018,Toyota,Prius,Automatic,"Hybrid, Octane","Tk 2,630,000",2018,"1,800 cc","76,845 km",8
Toyota Fortuner 4WD 2006,Toyota,Fortuner,Automatic,"Petrol, Octane","Tk 3,540,000",2006,"2,700 cc","44,965 km",20
Range Rover Vogue Autobiography 2017,Range Rover,Vogue,Automatic,Diesel,"Tk 17,500,000",2017,"3,000 cc","29,845 km",9
Toyota C-HR Grade-4 2018,Toyota,C-HR,Automatic,"Hybrid, Octane","Tk 3,220,000",2018,"1,800 cc","42,518 km",8
Toyota Corolla Axio Grade-4 2018,Toyota,Corolla,Automatic,"Hybrid, Octane","Tk 2,150,000",2018,"1,500 cc","87,451 km",8
Hyundai H1 New Shape 2015,Hyundai,H1,Automatic,"Petrol, Octane","Tk 1,990,000",2015,"2,400 cc","64,785 km",11
Subaru Forester New Shape Octane 2019,Subaru,Forester,Automatic,"Petrol, Octane","Tk 3,500,000",2019,"2,000 cc","56,481 km",7
Toyota Hilux Diesel Pickup 4WD 2011,Toyota,Hilux,Manual,Diesel,"Tk 2,640,000",2011,"2,500 cc","69,542 km",15
Nissan X-Trail New Shape 4WD 2017,Nissan,X-Trail,Automatic,"Petrol, Octane","Tk 3,890,000",2017,"2,000 cc","35,421 km",9
Toyota Allion  CNG Drive 2009,Toyota,Allion,Automatic,"Petrol, Octane","Tk 2,000,000",2009,"1,500 cc","62,548 km",17
Toyota Land Cruiser Prado TX LTD 2013,Toyota,Land Cruiser,Automatic,"Petrol, Octane","Tk 7,550,000",2013,"2,700 cc","67,549 km",13
Toyota Hilux Carryboy New Shape 2018,Toyota,Hilux,Manual,Diesel,"Tk 5,350,000",2018,"2,400 cc","75,214 km",8
Toyota Corolla Axio Push  Octane 2008,Toyota,Corolla,Automatic,"Petrol, Octane","Tk 1,490,000",2008,"1,500 cc","58,654 km",18
Toyota Premio FEX Power Seat 2014,Toyota,Premio,Automatic,"Petrol, Octane","Tk 2,490,000",2014,"1,500 cc","62,354 km",12
Mitsubishi Pajero V93 Rock Ford Sound 2006,Mitsubishi,Pajero,Automatic,"Petrol, Octane","Tk 3,690,000",2006,"3,000 cc","81,249 km",20
Toyota Land Cruiser Prado TX LTD 2012,Toyota,Land Cruiser,Automatic,"Petrol, Octane","Tk 7,000,000",2012,"2,700 cc","59,652 km",14
Nissan X-Trail New Shape 4WD 2016,Nissan,X-Trail,Automatic,"Hybrid, Octane","Tk 2,340,000",2016,"2,000 cc","63,254 km",10
DFSK Glory 580 i AUTO 2021,DFSK,Glory 580,Automatic,"Petrol, Octane","Tk 2,550,000",2021,"1,500 cc","13,998 km",5
Nissan X-Trail 2011 LPG,Nissan,X-Trail,Automatic,"Octane, LPG","Tk 1,650,000",2011,"2,000 cc","87,000 km",15
Mazda Axela 2012,Mazda,Axela,Automatic,"Petrol, Octane","Tk 1,580,000",2012,"1,500 cc","54,000 km",14
Toyota Rush Semi Push 2016,Toyota,Rush,Automatic,Octane,"Tk 1,690,000",2016,"1,500 cc","54,000 km",10
Toyota C-HR G LED 2020,Toyota,C-HR,Automatic,"Hybrid, Octane","Tk 3,350,000",2020,"1,800 cc","33,860 km",6
Toyota Corolla Axio 2014,Toyota,Corolla,Automatic,"Petrol, Octane","Tk 1,690,000",2014,"1,500 cc","97,000 km",12
Suzuki Fridger Van 2020,Suzuki,Other Model,Automatic,Petrol,"Tk 1,250,000",2020,660 cc,"188,000 km",6
Toyota Allion A15 KEY start 2019,Toyota,Allion,Automatic,Petrol,"Tk 3,550,000",2019,"1,500 cc","47,000 km",7
Toyota Probox GL 2011,Toyota,Probox,Automatic,"Octane, LPG","Tk 920,000",2011,"1,500 cc","170,000 km",15
Honda Civic Thai 2020,Honda,Civic,Automatic,Octane,"Tk 3,990,000",2020,"1,500 cc","6,500 km",6
Toyota Axio EX PKG 2020 DHAKA,Toyota,Axio,Automatic,Hybrid,"Tk 2,350,000",2020,"1,500 cc","100,000 km",6
Mitsubishi Pajero v6-Full Fresh 2004,Mitsubishi,Pajero,Automatic,Octane,"Tk 1,970,000",2004,"3,000 cc","179,496 km",22
Nissan Sunny EX Salon 2004,Nissan,Sunny,Automatic,"Octane, LPG","Tk 760,000",2004,"1,500 cc","72,000 km",22
Toyota Crown Royal Extra 1997,Toyota,Crown,Automatic,Octane,"Tk 1,120,000",1997,"2,000 cc","64,878 km",29
Toyota RAV4 Full Fresh 2000,Toyota,RAV4,Automatic,"Octane, LPG","Tk 995,000",2000,"2,000 cc","103,000 km",26
Toyota Corolla 110 Full Fresh 1996,Toyota,Corolla,Automatic,"CNG, Octane","Tk 545,000",1996,"1,500 cc","171,974 km",30
Toyota Axio Lookgel G 2012,Toyota,Axio,Automatic,"Octane, LPG","Tk 1,650,000",2012,"1,500 cc","82,000 km",14
Toyota Axio . 2011,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,560,000",2011,"1,500 cc","89,000 km",15
Toyota Noah X Hybrid Silver 2020,Toyota,Noah,Automatic,"Hybrid, Octane","Tk 2,900,000",2020,"1,800 cc","70,524 km",6
Toyota C-HR hybrid 2020,Toyota,C-HR,Automatic,"Petrol, Hybrid, Octane","Tk 3,050,000",2020,"1,800 cc","54,786 km",6
Toyota Corolla EE-111 1996,Toyota,Corolla,Automatic,"CNG, Octane","Tk 520,000",1996,"1,331 cc","35,000 km",30
"Proton Saga , 2005",Proton,Saga,Automatic,"CNG, Octane","Tk 685,000",2005,"1,300 cc","87,000 km",21
Toyota Esquire GI PREMIUM 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 3,850,000",2020,"1,800 cc","70,000 km",6
Toyota Corolla hybrid 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane","Tk 2,350,000",2020,"1,800 cc","56,328 km",6
Haval H2 lag 60 Sunroof 2020,Haval,H2,Automatic,"Octane, LPG","Tk 1,050,000",2020,"2,300 cc","68,535 km",6
Toyota Allion G-Edition 2008,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,980,000",2008,"1,500 cc","87,500 km",18
Toyota Noah X-Limited 2004,Toyota,Noah,Automatic,"Octane, LPG","Tk 1,320,000",2004,"2,000 cc","89,500 km",22
Toyota Corolla 110 SE-SALOON 2000,Toyota,Corolla,Automatic,"CNG, Octane","Tk 780,000",2000,"1,500 cc","91,500 km",26
Toyota Axio G Push 2014,Toyota,Axio,Automatic,Octane,"Tk 1,800,000",2014,"1,500 cc","70,000 km",12
Toyota Hiace SUPER GL DARKPRIME 2 2021,Toyota,Hiace,Automatic,Octane,"Tk 4,350,000",2021,"2,000 cc","102,000 km",5
Toyota Hiace SUPER GL 2016,Toyota,Hiace,Automatic,"Octane, LPG","Tk 3,280,000",2016,"2,000 cc","87,645 km",10
Toyota Starlet REFLET 1998,Toyota,Starlet,Automatic,Octane,"Tk 560,000",1998,"1,331 cc","91,500 km",28
Toyota Wagon 100 Dx 2001,Toyota,Wagon 100,Automatic,"CNG, Octane","Tk 420,000",2001,"1,331 cc","92,500 km",25
Toyota Corolla X 2005,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,280,000",2005,"1,500 cc","92,500 km",21
